rank,repo_name,language,influence_score,influence_tier,stars_score,openrank_score,activity_score,bus_factor_score,raw_stars,raw_openrank,raw_activity,raw_bus_factor,influence_trend,trend_value,community_health,growth_potential,market_position
1,NixOS/nixpkgs,Nix,10037.27,S-Tier,1.86,87.16,100.0,18.48,261,2080.5,5060.68,329,stable,0.0429,fair,low,leader
2,home-assistant/core,Python,7360.71,S-Tier,6.04,100.0,85.51,76.01,846,2387.11,4327.19,1353,stable,0.0445,fair,medium,leader
3,microsoft/vscode,TypeScript,7277.29,S-Tier,10.52,81.86,85.04,100.0,1474,1954.14,4303.48,1780,rising,0.0942,fair,medium,leader
4,MicrosoftDocs/azure-docs,Markdown,4475.7,S-Tier,0.99,52.76,66.68,80.28,139,1259.5,3374.48,1429,stable,-0.0443,fair,low,leader
5,flutter/flutter,Dart,4271.78,S-Tier,9.25,64.3,65.1,54.38,1296,1534.97,3294.44,968,stable,-0.0177,fair,low,leader
6,pytorch/pytorch,Python,4168.85,S-Tier,10.47,55.66,64.36,9.38,1466,1328.6,3257.17,167,rising,0.0687,fair,medium,leader
7,taozhiyu/TyProAction,TypeScript,3113.7,S-Tier,0.01,14.52,55.66,97.36,1,346.52,2816.83,1733,declining,-0.5067,fair,low,leader
8,kubernetes/kubernetes,Go,2866.56,S-Tier,6.27,42.6,53.36,5.56,878,1016.81,2700.28,99,rising,0.1657,fair,medium,leader
9,firstcontributions/first-contributions,JavaScript,2747.68,S-Tier,5.54,33.13,52.23,48.88,776,790.77,2643.15,870,rising,0.4948,fair,high,leader
10,google/it-cert-automation-practice,Python,2732.89,S-Tier,0.16,37.3,52.06,81.69,22,890.45,2634.35,1454,rising,0.1194,fair,high,leader
11,godotengine/godot,C++,2607.73,S-Tier,12.22,48.53,50.79,51.91,1712,1158.5,2570.24,924,rising,0.2489,fair,medium,leader
12,dotnet/runtime,C#,2496.86,S-Tier,1.93,49.16,49.76,7.47,270,1173.57,2518.1,133,declining,-0.1066,fair,low,leader
13,rust-lang/rust,Rust,2138.54,S-Tier,10.0,39.75,46.03,8.82,1401,948.9,2329.43,157,rising,0.051,fair,medium,leader
14,zephyrproject-rtos/zephyr,Unknown,2109.43,S-Tier,1.18,27.03,45.8,6.4,165,645.31,2317.78,114,stable,0.022,fair,low,leader
15,openshift/openshift-docs,Markdown,2078.97,S-Tier,0.05,20.75,45.5,5.0,7,495.24,2302.56,89,rising,0.0583,fair,medium,leader
16,grafana/grafana,Go,2015.84,S-Tier,3.91,37.71,44.71,7.02,548,900.29,2262.57,125,rising,0.1168,fair,medium,leader
17,odoo/odoo,Python,2008.97,S-Tier,2.31,36.74,44.64,6.85,324,877.05,2259.18,122,declining,-0.1054,fair,medium,leader
