date,language,project_count,avg_stars,avg_openrank,activity_score,trend_direction,popularity_index
2025-02,JavaScript,33,301.559461867269,263.1261295833221,707.6382130492171,down,33.81398175905409
2025-03,JavaScript,32,290.35638533253956,253.3508695077269,681.349118982658,down,32.557776355168045
2025-04,JavaScript,33,302.5659795554418,264.0043679977501,710.000103383716,down,33.92684298561715
2025-05,JavaScript,32,287.0965762846735,250.50651857065296,673.6996642607601,down,32.19225267701844
2025-06,JavaScript,34,307.0757457845904,267.9393708189308,720.5827025696407,down,34.43252485699928
2025-07,JavaScript,38,341.10536562778765,297.6319631358432,800.436470803195,down,38.24827959246795
2025-08,JavaScript,37,332.32427705453694,289.97001203836857,779.8308038872054,down,37.2636526568647
2025-09,JavaScript,39,350.15747839105813,305.5303967688078,821.6781219868682,up,39.26329657771796
2025-10,JavaScript,36,321.7715786845924,280.7622403387165,755.0678845905734,up,36.08037441389197
2025-11,JavaScript,41,367.3587500393379,320.5393903672755,862.0425564370149,up,41.19208197263114
2025-12,JavaScript,37,335.55227656327315,292.7866075176524,787.4056144732889,up,37.625609518807515
2026-01,JavaScript,45,407.50063243524863,355.5652459103985,956.2393352453578,up,45.69320712620652
2025-02,Python,37,690.4681642219747,363.0014599593241,930.3642466469465,down,37.8551574983575
2025-03,Python,37,683.4645468395931,359.3194316392122,920.9272942320513,down,37.47118173697387
2025-04,Python,39,711.3920789166666,374.0018390872975,958.5579609129294,down,39.00231840640933
2025-05,Python,39,720.986574777228,379.0459760735146,971.4859659619772,down,39.528339982405015
2025-06,Python,37,688.4643679314618,361.9479993993621,927.6642518856273,down,37.745298669084086
2025-07,Python,41,749.3706422254477,393.9683989413346,1009.7317865466166,down,41.0845063625119
2025-08,Python,40,732.1154013321793,384.8967603622204,986.4813891695462,down,40.13848177291651
2025-09,Python,38,704.2655894264315,370.25521292350464,948.9554457364461,up,38.61160613893321
2025-10,Python,38,700.4666230422805,368.25797334717004,943.8365674431792,up,38.40332648426579
2025-11,Python,43,798.8423812922124,419.9772932517594,1076.391973984843,up,43.79681168103483
2025-12,Python,40,743.7696476054825,391.0237748013315,1002.184783788062,up,40.77742988241793
2026-01,Python,47,861.9998914372596,453.1812403387065,1161.4929133053465,up,47.25944416379222
2025-02,Java,20,192.08564101856763,206.59849819756846,567.2692744520346,down,20.746545889123375
2025-03,Java,22,209.9463100248544,225.80861392478212,620.0155843516113,down,22.67561870885358
2025-04,Java,21,196.3513357913371,211.18648368753125,579.8667677677836,down,21.2072697198219
2025-05,Java,22,206.94641090277807,222.58206013305303,611.1562516634119,down,22.351609353084598
2025-06,Java,24,229.50103377690067,246.84077717456177,677.7647940068035,down,24.787660876710067
2025-07,Java,21,199.48701100986705,214.55907201609347,589.1270758090325,down,21.545943810553798
2025-08,Java,24,230.2119932090698,247.60545250472524,679.8644066541249,down,24.864449294660453
2025-09,Java,22,212.1589801333739,228.18846032559972,626.5500642867369,up,22.914602017030443
2025-10,Java,26,241.63279379559404,259.8891413680783,713.5924314456955,up,26.097972853227482
2025-11,Java,27,250.41513566427778,269.33502514734687,739.5285330377785,up,27.04652505955822
2025-12,Java,27,252.8891854514413,271.9959995324368,746.834922106115,up,27.31373913745175
2026-01,Java,26,249.35123130668742,268.19073845658494,736.3865998364398,up,26.931616207135185
2025-02,TypeScript,35,323.3848695400017,292.73268273487963,720.978437327762,down,35.7732275399278
2025-03,TypeScript,38,345.4228339954737,312.6817683746709,770.1115250866052,down,38.211093968570104
2025-04,TypeScript,36,325.4399184777796,294.5929428935039,725.5601172743184,down,36.00055955258933
2025-05,TypeScript,40,363.20486175780263,328.7783182804752,809.7561089746494,down,40.17816350453187
2025-06,TypeScript,43,393.7134871834175,356.39516931032546,877.7743224293049,down,43.55306475094267
2025-07,TypeScript,41,372.86909002714367,337.52651813246774,831.3022629598975,down,41.247232188446205
2025-08,TypeScript,38,349.25470867677257,316.15043701385633,778.6545933621509,down,38.634980605794595
2025-09,TypeScript,43,390.9240521456859,353.87013218329054,871.5553471340422,up,43.24449405481034
2025-10,TypeScript,39,361.37015220735464,327.11751253682394,805.6656701532106,up,39.97520570285359
2025-11,TypeScript,40,369.76340541316426,334.7152072938629,824.3782171843335,up,40.90367757959523
2025-12,TypeScript,40,369.83109949742044,334.776484962536,824.5291394434756,up,40.91116598151906
2026-01,TypeScript,47,430.16261648804266,389.389450767806,959.0367399486737,up,47.58511176075281
2025-02,Lua,1,112.46489391972068,116.45673086596216,256.09100943537976,down,1.7781010896398526
2025-03,Lua,1,111.00158888533791,114.94148717858035,252.75895397961727,down,1.7549658321792554
2025-04,Lua,1,119.89336872966625,124.14887248932001,273.0062044472756,down,1.8955473316943279
2025-05,Lua,1,117.7949768058212,121.9760000932373,268.22800844993515,down,1.862371174795592
2025-06,Lua,1,119.07222211091442,123.2985800340607,271.13639192924035,down,1.882564776457145
2025-07,Lua,2,129.41557702541473,134.00906272378717,294.6889878432467,down,2.0460960794531973
2025-08,Lua,2,129.43646821993548,134.03069543185256,294.7365586620744,down,2.0464263750187426
2025-09,Lua,2,130.9497421581065,135.59768162284877,298.1823970643682,up,2.0703516546736203
2025-10,Lua,2,131.85668392694365,136.53681444735454,300.2475715822618,up,2.0846906549714412
2025-11,Lua,2,154.0054679172294,159.47174895239428,350.68201607555676,up,2.4348690579799115
