repo_name,updated_at,language,latest_stars,latest_activity,latest_openrank,latest_attention,latest_bus_factor,stars_avg,stars_trend,stars_total,activity_avg,activity_trend,activity_total,openrank_avg,openrank_trend,openrank_total,attention_avg,attention_trend,attention_total,bus_factor_avg,bus_factor_trend,bus_factor_total,avg_issue_age,latest_participants,new_contributors_trend,code_churn_ratio,influence_score
AdguardTeam/AdguardFilters,1680399982119,JavaScript,67,544.45,503.27,95,27,26.78021978021978,0.150375939849624,2437,359.69171717171713,-0.024311301547169546,35609.48,281.5362626262626,0.01546944759112405,27872.09,48.252747252747255,0.05761316872427989,4391,19.77777777777778,0.14159292035398238,1958,393.1572727272728,106,-0.32,1.0013585186563692,4.288675141641983
airbytehq/airbyte,1680421013893,Python,338,1299.58,516.51,590,64,328.21875,0.026368159203980043,10503,846.8296875000001,0.2562014230671086,27098.55,260.5309375,0.2624975329179238,8336.99,514.78125,0.16705539358600585,16473,34.0,0.15141955835962145,1088,154.07625000000002,127,-0.18181818181818182,0.4695938163079721,5.425884079601991
alibaba/nacos,1680413315821,Java,433,455.08,158.31,849,166,486.17241379310343,-0.13879598662207368,28198,320.1759649122807,-0.18063728585259076,18250.03,134.19263157894738,-0.1600031793975042,7648.98,940.948275862069,-0.20304182509505705,54575,93.56140350877193,-0.08362989323843426,5333,328.3417543859649,75,0.27777777777777785,0.35689990281827016,5.66834
angular/angular,1680399979822,TypeScript,748,639.83,318.03,1292,56,1053.6262626262626,-0.12319899770306944,104309,1130.2663636363636,-0.08343515227401248,111896.37,593.7477777777777,-0.16290516034386376,58781.03,1727.4646464646464,-0.08602691485347755,171019,280.0,0.6738281250000002,27720,525.8128282828283,155,-0.1428571428571429,0.3671735644402804,6.2802999999999995
angular/components,1680404071576,TypeScript,96,313.75,154.86,202,101,315.71264367816093,0.017214397496087594,27467,594.8925287356323,0.20758039685740712,51755.65,318.60275862068966,0.1352195188410406,27718.44,535.7471264367816,-0.06321401370906325,46610,179.79310344827587,0.5629139072847682,15642,510.9718390804598,80,-0.2647058823529412,0.0628004677552081,5.114087198748044
ankidroid/Anki-Android,1680398139315,Java,128,241.6,164.76,214,13,66.29292929292929,-0.06803594351732997,6563,152.20222222222222,-0.18882064678690863,15068.02,86.14464646464648,-0.15780490161347457,8528.32,114.01010101010101,0.01509134233518661,11287,13.757575757575758,0.41538461538461535,1362,498.50322580645167,42,-0.11111111111111116,0.6857909159815754,4.07487
ansible/ansible,1680397190568,Python,472,407.1,153.08,876,49,549.4444444444445,-0.02523402523402519,54395,1370.7517171717172,-0.05610103223020863,135704.42,582.6682828282828,-0.10076314158257851,57684.159999999996,1121.1616161616162,0.03193163930739835,110995,224.40404040404042,-0.09473684210526316,22216,543.2821212121212,101,0.19047619047619047,0.985401292306986,5.56006
ant-design/ant-design,1680401638493,TypeScript,745,988.92,457.75,1521,310,1125.9166666666667,-0.0002542588354944756,108088,767.4103157894737,0.17562082314035088,72903.98,333.70105263157893,0.2534248160854087,31701.6,2146.7395833333335,-0.02749354924815375,206087,253.90526315789472,0.12954690491384804,24121,368.7624468085107,146,0.3394495412844035,0.7949361783339383,6.643173684210526
apache/airflow,1680401642575,Python,362,1006.9,466.09,714,86,335.7659574468085,-0.16350710900473933,31562,578.5251063829786,0.027789833333621363,54381.36,228.88053191489362,-0.03065461695257673,21514.77,654.7234042553191,-0.12331011880376885,61544,48.06382978723404,-0.08559498956158658,4518,646.0608510638298,221,0.031088082901554407,0.46109941152158085,6.5259
apache/apisix,1680416650743,Lua,252,417.67,141.47,362,61,259.4782608695652,-0.14700065919578123,11936,311.1926086956522,-0.05143971080555324,14314.86,99.84608695652176,-0.05810318155756762,4592.92,373.17391304347825,-0.14659449706811012,17166,22.130434782608695,0.4873417721518987,1018,234.98304347826087,57,-0.2750000000000001,1.12425959309812,4.1543399999999995
apache/arrow,1680404881157,C++,211,851.72,260.04,369,32,139.01162790697674,-0.05206463195691198,11955,417.43732558139544,0.06970776976035371,35899.61,144.50058139534886,-0.026462280399586653,12427.05,216.52325581395348,-0.031425364758698025,18621,15.546511627906977,0.17985611510791355,1337,412.1161194029851,62,-0.18518518518518523,0.3845107964029939,4.64624
apache/beam,1680404881148,Java,148,640.26,200.25,262,30,83.73255813953489,0.4885496183206108,7201,563.787441860465,0.027040143266279754,48485.72,151.48930232558138,0.134129822280017,13028.08,193.65116279069767,0.2385321100917432,16654,23.13953488372093,-0.020618556701030962,1990,152.98999999999998,78,0.2575757575757576,0.2748297796747928,4.858594809160305
apache/dolphinscheduler,1680416018655,Java,267,344.39,132.81,499,46,226.73469387755102,0.045884923525127456,11110,340.6704081632653,-0.3173123229065173,16692.85,114.72979591836736,-0.044789662807157446,5621.76,421.0204081632653,-0.07320698625046447,20630,27.571428571428573,0.2528735632183909,1351,298.79530612244895,39,-0.4146341463414634,0.5550205942833003,4.262042461762563
apache/doris,1680410361432,Java,501,1232.36,276.98,751,51,124.13235294117646,-0.18446139180171592,8441,290.7229411764706,0.20398787952959518,19769.16,72.21514705882352,0.39368188061382814,4910.63,200.0441176470588,-0.1737654320987654,13603,16.5,0.1728971962616824,1122,0.0,31,-0.21212121212121213,0.5844896476571013,4.47374
apache/flink,1680399977695,Java,280,582.21,162.25,578,31,228.56565656565655,-0.16865079365079366,22628,537.2877777777777,-0.15220698665429386,53191.49,143.61878787878788,-0.15353916722554792,14218.26,516.5858585858585,-0.1894285714285715,51142,22.31313131313131,0.023923444976076416,2209,540.4,63,-0.1833333333333334,0.9039470355467091,4.8065
apache/hudi,1680408081026,Java,134,610.43,249.36,262,41,57.64473684210526,-0.07617504051863853,4381,268.1288157894737,-0.1142881785020318,20377.79,87.4271052631579,0.10048565451285099,6644.46,115.36842105263158,-0.1711191335740072,8768,12.973684210526315,-0.02051282051282055,986,347.733552631579,65,-0.48958333333333337,0.5162982980474972,5.08188
apache/iceberg,1680414669614,Java,172,706.12,208.44,298,30,80.0754716981132,0.07586206896551728,4244,369.71735849056597,-0.07243135302315401,19595.02,101.39339622641508,-0.004330756117300664,5373.85,143.0754716981132,0.003909304143862437,7583,14.018867924528301,-0.00735294117647064,743,260.74867924528303,63,-0.14583333333333337,0.2858435551980696,4.486131034482758
apache/pulsar,1680405682115,Java,156,480.42,171.45,244,29,170.1012658227848,-0.23307626392459302,13438,379.05265822784804,-0.2616246357074452,29945.16,120.76468354430382,-0.16034024674067496,9540.41,268.44303797468353,-0.3014818599897803,21207,19.82278481012658,-0.034090909090909095,1566,313.62443037974685,86,-0.43749999999999994,0.29610092156756657,4.94992
apache/shardingsphere,1680404069359,Java,156,464.93,241.28,274,39,225.06896551724137,-0.5583783783783783,19581,267.65540229885056,-0.16794834678343526,23286.02,115.0867816091954,-0.04000932773669118,10012.55,397.632183908046,-0.5243433696348495,34594,24.563218390804597,-0.04320987654320992,2137,322.34057471264373,78,-0.3088235294117648,0.6029273532966295,4.7218
apache/spark,1680399078645,Scala,299,854.69,283.96,653,30,390.2828282828283,-0.09949409780775717,38638,1134.029696969697,0.11282849209555822,112268.94,436.8976767676768,0.051799287223641695,43252.87,1032.828282828283,-0.11236242641412844,102250,30.88888888888889,-0.04469273743016756,3058,0.0,92,0.0,0.7818702290076336,5.41706
apache/superset,1680402449355,Python,515,549.37,307.13,935,58,595.752688172043,-0.04350471554609073,55405,422.44741935483864,-0.10206917280545888,39287.61,191.44333333333333,-0.03453362871786576,17804.23,871.3870967741935,-0.026729857819905216,81039,41.655913978494624,-0.13827160493827165,3874,543.6594623655914,143,-0.05405405405405415,1.138491075990046,4.68723
apache/tvm,1680407297529,C++,159,568.9,169.57,295,31,144.26470588235293,-0.12830687830687834,9810,443.23617647058825,-0.1875887745878705,30140.06,141.69691176470585,-0.060441078929913634,9635.39,253.51470588235293,-0.06080114449213157,17239,24.279411764705884,-0.2018779342723005,1651,0.0,69,-0.33802816901408456,0.10723374475124062,4.6072999999999995
apple/swift,1680403260643,Swift,339,909.16,272.29,481,35,843.9431818181819,-0.10477941176470587,74267,748.9355681818182,-0.0016412705712591468,65906.33,237.19965909090908,0.0943450456276496,20873.57,1177.6704545454545,-0.0767703507610854,103635,31.272727272727273,-0.08064516129032263,2752,249.3108333333333,99,-0.06451612903225817,1.153622543657311,2.61414
appsmithorg/appsmith,1680421010412,TypeScript,671,1015.27,274.34,927,53,768.6969696969697,-0.4259923333745517,25367,622.2378787878788,0.10595581249295469,20533.85,145.66606060606063,0.1630686953901777,4806.98,920.4848484848485,-0.36675461741424803,30376,29.12121212121212,0.1631799163179916,961,159.860625,230,0.4399999999999999,0.5677503842221832,7.6723
archway-network/testnets,1680425293004,Rust,1,1.73,22.03,5,1,22.454545454545453,0.0,247,2870.9216666666666,0.0,17225.530000000002,884.2208333333333,-0.916448046304967,10610.65,1760.9166666666667,-0.9941929649197963,21131,811.9166666666666,-0.9958775636401113,9743,39.0,8,0.0,4.0,3.528293333333333
ArduPilot/ardupilot,1680398100707,C++,114,400.32,200.75,592,34,83.31313131313131,-0.24155844155844164,8248,368.8932323232323,0.040854808296668765,36520.43,183.95141414141412,-0.02051868343462298,18211.19,420.4141414141414,-0.004605263157894812,41621,24.383838383838384,0.24822695035460987,2414,719.2307070707071,79,0.07142857142857136,0.970852953699449,5.17516
argoproj/argo-cd,1680411872505,Go,300,838.43,254.2,576,256,204.98387096774192,-0.04095744680851058,12709,368.23725806451614,0.25188214295228695,22830.71,105.54225806451613,0.10934827670457681,6543.62,340.2096774193548,0.010869565217391236,21093,93.87096774193549,0.3665071770334929,5820,266.62,143,0.08823529411764705,0.8183191557333998,5.8548
AUTOMATIC1111/stable-diffusion-webui,1680426181691,Python,14008,2177.98,736.73,19288,727,6809.0,0.0,54472,1959.4612499999998,0.0,15675.69,593.5375,0.0,4748.3,9373.25,0.0,74986,638.75,0.0,5110,52.878750000000004,1450,0.0,0.24506364348053003,8.759791666666668
Automattic/jetpack,1680399082670,JavaScript,6,752.38,186.14,8,46,15.323232323232324,0.16666666666666666,1517,445.59212121212107,0.10686807369238371,44113.62,135.87777777777777,-0.03477273995795281,13451.9,34.77777777777778,0.008928571428571301,3443,30.242424242424242,0.13809523809523816,2994,546.690202020202,89,0.25641025641025633,0.778804283533408,4.810453333333333
Automattic/wp-calypso,1680404070405,JavaScript,37,1512.21,430.83,53,68,156.8314606741573,-0.23076923076923078,13958,1113.2477528089887,0.07765002382169693,99079.05,362.2387640449438,0.06582285768330848,32239.25,219.02247191011236,-0.2080536912751677,19493,50.943820224719104,-0.060344827586206774,4534,419.15494382022473,224,-0.42105263157894735,0.51384841586877,6.1672400000000005
aws/aws-cdk,1680410409324,TypeScript,143,1053.99,406.68,293,104,181.78947368421052,-0.13355780022446695,10362,874.3470175438595,0.0102910396561992,49837.78,364.22526315789474,-0.05270472050974997,20760.84,319.7894736842105,-0.09859154929577464,18228,129.7017543859649,-0.33030090972708187,7393,353.5766666666666,256,-0.08461538461538472,0.228414232151692,6.34126
aws-amplify/amplify-cli,1680414010280,TypeScript,16,393.68,196.36,34,38,51.44642857142857,-0.31756756756756765,2881,489.27053571428576,0.15652235628105035,27399.15,206.71625,0.06817983751488793,11576.11,86.0,-0.19387755102040816,4816,103.35714285714286,-0.5474747474747474,5788,324.5482142857142,117,0.055555555555555504,0.6882417751796815,5.57722
azerothcore/azerothcore-wotlk,1680405681981,C++,125,353.11,173.01,279,28,41.63414634146341,0.24606299212598418,3414,208.30036585365855,0.11061162938710908,17080.63,86.87292682926831,-0.06323618842681379,7123.58,110.97560975609755,0.36094069529652356,9100,14.207317073170731,0.3191489361702129,1165,300.9440740740741,91,0.625,0.7997008644873189,5.068731496062993
Azure/azure-cli,1680404883028,Python,54,940.83,335.08,160,291,48.50617283950617,0.07633587786259548,3929,667.2137037037038,-0.05848456449942913,54044.31,249.460987654321,-0.05179233087115124,20206.34,126.0,-0.06310679611650499,10206,183.66666666666666,-0.07627118644067797,14877,380.995925925926,171,0.0,0.6414627404600858,5.6220679389312975
Azure/azure-powershell,1680399976762,PowerShell,40,463.18,182.96,160,57,39.313131313131315,-0.20666666666666672,3892,452.77666666666664,-0.036488120304837404,44824.89,164.8532323232323,-0.02435513492943312,16320.47,131.95959595959596,-0.12389380530973446,13064,52.76767676767677,-0.013623978201634801,5224,418.9212121212121,115,-0.12222222222222226,0.4818499895184099,5.47602
Azure/azure-rest-api-specs,1680402445470,OpenAPI,42,1572.86,349.13,236,169,24.097826086956523,-0.38481675392670156,2217,785.0026086956523,0.05923147293122837,72220.24,221.6983695652174,0.06519332580029041,20396.25,162.2826086956522,-0.24969770253929868,14930,73.0,0.051244509516837566,6716,397.82307692307694,179,-0.16286644951140056,0.14824245146897022,5.959
Azure/azure-sdk-for-java,1680397190748,Java,18,717.8,251.87,72,46,18.858585858585858,-0.1722846441947565,1867,389.59474747474746,-0.04490514669943401,38569.88,135.83424242424243,-0.04275775437240297,13447.59,58.323232323232325,-0.14896988906497627,5774,17.292929292929294,0.21311475409836064,1712,261.6757575757576,129,0.6666666666666665,0.40887988471947473,5.5925
Azure/azure-sdk-for-js,1680411139756,TypeScript,24,514.28,148.32,72,28,30.945454545454545,-0.4393939393939394,1702,479.1203571428572,-0.042841832228424456,26830.74,181.40035714285713,-0.17019217346796328,10158.42,70.07142857142857,-0.24812030075187969,3924,17.678571428571427,0.089655172413793,990,246.165,72,0.23529411764705876,0.6566495419484797,4.41234
Azure/azure-sdk-for-net,1680397189325,C#,58,1083.4,392.95,208,73,46.58585858585859,-0.11561561561561558,4612,556.1422222222222,0.04896091515729258,55058.08,189.27353535353538,0.03486631603520945,18738.08,148.63636363636363,-0.14058524173027995,14715,38.303030303030305,-0.015113350125944584,3792,301.67484848484855,209,0.12121212121212122,0.44645508960850455,6.15304
Azure/azure-sdk-for-python,1680397190175,Python,62,996.92,298.87,162,59,38.535353535353536,-0.21392190152801357,3815,332.31434343434347,0.3110594127430878,32899.12,109.91565656565658,0.3049422086962152,10881.65,90.60606060606061,-0.053917438921651316,8970,19.03030303030303,0.47692307692307695,1884,251.52656565656568,107,0.3015873015873015,0.5034144200254289,4.91218
backstage/backstage,1680419077933,TypeScript,377,870.85,319.16,719,68,596.1621621621622,0.025307302964569817,22058,644.6845945945945,0.21218637830902393,23853.33,202.30216216216218,0.11677208757308699,7485.18,849.0,0.08664582402858413,31413,45.78378378378378,0.061274509803921635,1694,238.23837837837837,120,0.22222222222222215,0.49103226308822384,5.812873651482286
bevyengine/bevy,1680419074452,Rust,839,791.05,224.19,1091,63,761.875,0.01828410689170183,24380,531.8853125,0.15996658109240702,17020.329999999998,151.70187500000003,0.19595797563856232,4854.46,953.8125,0.039151115989754806,30522,42.3125,0.15040650406504058,1354,210.419375,89,0.0,0.26616495614121155,5.871902053445851
bioconda/bioconda-recipes,1680403256823,Python,1,649.14,193.52,125,128,18.153846153846153,-0.29629629629629634,1652,474.1338461538461,0.0767940306679528,43146.18,156.83868131868132,-0.050119654650464786,14272.32,118.53846153846153,-0.18780487804878043,10787,54.08791208791209,0.310421286031042,4922,448.1104395604396,99,-0.0916666666666666,0.3812195820211852,4.86112
bitcoin/bitcoin,1680397194325,C++,524,549.45,204.18,892,29,740.5656565656566,-0.2181643440653531,73316,577.6176767676767,-0.12474725828816308,57184.15,238.3370707070707,-0.1519567919756524,23595.37,1382.6262626262626,-0.18674529626509404,136880,27.060606060606062,0.0,2679,500.4879797979798,116,-0.34374999999999994,0.6423688538502508,6.325379999999999
