technology,category,maturity_stage,maturity_score,risk_level,risk_score,growth_rate,adoption_rate,community_size,avg_project_stars,avg_influence_score,recommendation,prediction_6m,prediction_12m
Java,Backend,mature,86.49,low,29.75,0.02,0.718,1,18.0,251.87,safe_choice,monitor,stable
Python,Backend,mature,77.24,low,18.2,0.15,1.181,2,407.0,446.94,safe_choice,monitor,stable
JavaScript,Frontend,mature,76.91,low,16.76,0.08,0.777,36,304.83,289.66,safe_choice,monitor,stable
TypeScript,Frontend,growing,50.56,low,10.25,0.25,1.225,1,1156.0,458.4,recommended,adopt,stable
Go,Backend,growing,63.01,low,23.43,0.2,1.268,8,479.62,454.78,recommended,adopt,stable
Rust,Backend,emerging,22.33,medium,47.63,0.35,1.357,2,739.5,542.14,pilot_project,monitor,critical
Kotlin,Mobile,growing,50.05,low,26.54,0.18,0.323,3,181.33,181.96,recommended,adopt,stable
Swift,Mobile,growing,59.88,low,15.53,0.12,0.909,1,339.0,272.29,recommended,monitor,stable
React,Frontend,mature,75.01,low,22.73,0.05,0.838,2,1584.5,318.0,safe_choice,monitor,stable
Angular,Frontend,mature,91.04,low,10.25,0.03,0.477,2,422.0,236.44,safe_choice,monitor,stable
Docker,DevOps,mature,88.22,low,19.15,0.08,0.408,1,34.0,207.68,safe_choice,monitor,stable
Kubernetes,DevOps,growing,60.24,low,15.12,0.22,1.315,4,286.25,443.74,recommended,adopt,stable
TensorFlow,AI/ML,growing,65.43,medium,51.87,0.3,1.112,1,1227.0,355.63,monitor,monitor,stable
Flutter,Mobile,emerging,26.61,medium,39.41,0.4,1.129,4,380.0,557.93,pilot_project,monitor,critical
